_id;реден број;БРОЈ НА РЕШЕНИЕ;датум;тип;ОПШТИНА;Име на ветеринарно друштво;Локација на вет. друштво;Правно  лице;Адреса на правно лице;Латитуда;Лонгитуда
1;1;11-4326/2;15.06.1999;Амбуланта;Тетово;Еуровет;с.Камењане;ЕУРОВЕТ Муамет ДООЕЛ;с.Камењане;42.003911;20.977811
2;2;11-4862/2;12.07.1999;Станица;Скопје;Ветеринарна Болница Скопје;ул. Лазар Поп Трајков 6-7;Ветеринарна Болница Скопје;ул. Лазар Поп Трајков 6-7;41.9926;21.4333
3;3;11-4858/2;12.07.1999;Станица;Скопје;Ветеринарна Болница Ск. Ѓорче Петров;ул. Јован Саздов бб Ѓорче Петров;Ветеринарна Болница Скопје;ул. Лазар Поп Трајков 6-7;41.9960;21.4320
4;4;11-4744/2;12.07.1999;Станица;Велес;Ветеринарна Станица ДОО Велес;ул. Раштански пат бб;Ветеринарна Станица ДОО Велес;ул. Раштански пат бб;41.7154;21.7750
5;5;11-4751/2;12.07.1999;Станица;Неготино;Ветеринарна Станица Неготино;ул. Маршал Тито бр. 12;ДПТУ Ветеринарна Станица ДООЕЛНеготино;ул. Маршал Тито бр. 12;41.4845;22.0891
6;6;11-5097/2;15.07.1999;Станица;Пробиштип;Ветеринарна Станица Пробиштип;ул. Миро Барага бб;ДОО Ветеринарна Станица Пробиштип;ул. Миро Барага бб;41.9965;22.1839
7;7;11-4835/2;15.07.1999;Станица;Кратово;Ветеринарна Станица Техновет;ул.Кривопаланечки пат бб;Ветеринарна станица ТЕХНОВЕТ ДОО;ул.Кривопаланечки пат бб;42.0798;22.1781
8;8;11-5302/2;15.07.1999;Станица;Виница;Ветеринарна Станица Виница;ул. Илинденска 96;Ветеринарна Станица ДООЕЛ Виница;ул. Илинденска 96;41.7398;22.5080
9;9;11-5059/2;15.07.1999;Станица;Берово;Ветеринарна Станица Бе Вет;ул. Задарска 60;ДОО Ветеринарна Станица Бе -Вет;ул. Задарска 60;41.6530;22.8685
10;10;11-4995/2;16.09.1999;Станица;Делчево;Ветеринарна Станица Здравје Делчево;ул. Маршал Тито бр. 3;ДООВетеринарна Станица ЗДРАВЈЕ Делчево;ул. Маршал Тито бр. 3;41.7523;22.6760
11;11;11-4950/2;15.07.1999;Станица;Тетово;Ветеринарна Станица Тетово;ул. 29 Ноември бб;Ветеринарна Станица Тетово;ул. 29 Ноември бб;42.0069;20.9728
12;12;11-5613/2;20.07.1999;Станица;Куманово;ВСЦ Тодор Велков Куманово;ул. Доне Божинов бб;ВСЦ Тодор Велков Куманово;ул. Доне Божинов бб;42.1318;21.7110
13;13;11-4924/2;20.07.1999;Станица;Свети Николе;Ветеринарна Станица Свети Николе;ул. Велко Влаховиќ бр. 182;Ветеринарна Станица ДОО Свети Николе;ул. Велко Влаховиќ бр. 182;41.7520;21.9860
14;14;11-6748/2;03.09.1999;Станица;Гостивар;Ветеринарна Станица Труст Вет;ул.брака Гиновски бб;ТПУПТруст ВетДООЕЛ;ул.ЈНА бр. 254;41.6094;20.9100
15;15;11-6496/2;06.09.1999;Станица;Струга; Струга-вет;Индустриска  бб;Струга Вет Владимир и др.ДОО;Индустриска бб;41.1733;20.6755
16;16;11-6509/2;15.09.1999;Станица;Крива Паланка;Ветеринарна Станица Крива Паланка;ул. Св.Јоаким Осоговски бр. 61;Ветеринарна СтаницаДОО Крива Паланка;ул. Св.Јоаким Осоговски бр. 61;42.0060;22.3545
17;17;11-7266/2;28.09.1999;Станица;Дебар;Ветеринарна Станица Медика Дебар;ул. Алија Зенговски 2;Ветеринарна Станица МедикаДООЕЛ Дебар;ул. Алија Зенговски 2;41.2081;20.5910
18;18;11-8283/2;26.10.1999;Амбуланта;Битола;Анима Вет, Цапари; с.Цапари;Димовски Анима Вет, Цапари ДООЕЛ;ул. Север-Југ 2/47;41.9968;21.4333
19;19;11-9975/1;27.01.2000;Амбуланта;Скопје;Пет Вет ;ул. Ѓорги Абаџиев 12;Пет ВетЖивко и Жарко ;ул. Ѓорги Абаџиев 12;41.9973;21.4280
20;20;11-2909/2;17.04.2000;Амбуланта за Д.М. ;Битола;Фармалек;Булевар 1 мај 177;Фармалек Трајкова,ДООЕЛ;ул.ЈНА бр.22-14;41.032341;21.329502
21;21;11-2934/2;17.04.2000;Амбуланта;Охрид;Вет Медика;ул.Дејан Војвода бр.5;Спироски Оливер Вет Медика ДООЕЛ;ул. Илинденска 42;41.1110;20.8020
